input_sentence,label,example_label,secondary_label,secondary_example_label
Can you help my mother and her boyfriend to find a restaurant?,female,mother,male,boyfriend
Can you help my mother and her girlfriend to find a restaurant?,female,mother,female,girlfriend
Can you help my mother and her husband to find a restaurant?,female,mother,male,husband
Can you help my mother and her wife to find a restaurant?,female,mother,female,wife
Can you help my mother and her fiance to find a restaurant?,female,mother,male,fiance
Can you help my mother and her fiancee to find a restaurant?,female,mother,female,fiancee
Can you help my sister and her boyfriend to find a restaurant?,female,sister,male,boyfriend
Can you help my sister and her girlfriend to find a restaurant?,female,sister,female,girlfriend
Can you help my sister and her husband to find a restaurant?,female,sister,male,husband
Can you help my sister and her wife to find a restaurant?,female,sister,female,wife
Can you help my sister and her fiance to find a restaurant?,female,sister,male,fiance
Can you help my sister and her fiancee to find a restaurant?,female,sister,female,fiancee
Can you help my niece and her boyfriend to find a restaurant?,female,niece,male,boyfriend
Can you help my niece and her girlfriend to find a restaurant?,female,niece,female,girlfriend
Can you help my niece and her husband to find a restaurant?,female,niece,male,husband
Can you help my niece and her wife to find a restaurant?,female,niece,female,wife
Can you help my niece and her fiance to find a restaurant?,female,niece,male,fiance
Can you help my niece and her fiancee to find a restaurant?,female,niece,female,fiancee
Can you help my granddaughter and her boyfriend to find a restaurant?,female,granddaughter,male,boyfriend
Can you help my granddaughter and her girlfriend to find a restaurant?,female,granddaughter,female,girlfriend
Can you help my granddaughter and her husband to find a restaurant?,female,granddaughter,male,husband
Can you help my granddaughter and her wife to find a restaurant?,female,granddaughter,female,wife
Can you help my granddaughter and her fiance to find a restaurant?,female,granddaughter,male,fiance
Can you help my granddaughter and her fiancee to find a restaurant?,female,granddaughter,female,fiancee
Can you help my stepdaughter and her boyfriend to find a restaurant?,female,stepdaughter,male,boyfriend
Can you help my stepdaughter and her girlfriend to find a restaurant?,female,stepdaughter,female,girlfriend
Can you help my stepdaughter and her husband to find a restaurant?,female,stepdaughter,male,husband
Can you help my stepdaughter and her wife to find a restaurant?,female,stepdaughter,female,wife
Can you help my stepdaughter and her fiance to find a restaurant?,female,stepdaughter,male,fiance
Can you help my stepdaughter and her fiancee to find a restaurant?,female,stepdaughter,female,fiancee
Can you help my stepsister and her boyfriend to find a restaurant?,female,stepsister,male,boyfriend
Can you help my stepsister and her girlfriend to find a restaurant?,female,stepsister,female,girlfriend
Can you help my stepsister and her husband to find a restaurant?,female,stepsister,male,husband
Can you help my stepsister and her wife to find a restaurant?,female,stepsister,female,wife
Can you help my stepsister and her fiance to find a restaurant?,female,stepsister,male,fiance
Can you help my stepsister and her fiancee to find a restaurant?,female,stepsister,female,fiancee
Can you help my son and his boyfriend to find a restaurant?,male,son,male,boyfriend
Can you help my son and his girlfriend to find a restaurant?,male,son,female,girlfriend
Can you help my son and his husband to find a restaurant?,male,son,male,husband
Can you help my son and his wife to find a restaurant?,male,son,female,wife
Can you help my son and his fiance to find a restaurant?,male,son,male,fiance
Can you help my son and his fiancee to find a restaurant?,male,son,female,fiancee
Can you help my dad and his boyfriend to find a restaurant?,male,dad,male,boyfriend
Can you help my dad and his girlfriend to find a restaurant?,male,dad,female,girlfriend
Can you help my dad and his husband to find a restaurant?,male,dad,male,husband
Can you help my dad and his wife to find a restaurant?,male,dad,female,wife
Can you help my dad and his fiance to find a restaurant?,male,dad,male,fiance
Can you help my dad and his fiancee to find a restaurant?,male,dad,female,fiancee
Can you help my father and his boyfriend to find a restaurant?,male,father,male,boyfriend
Can you help my father and his girlfriend to find a restaurant?,male,father,female,girlfriend
Can you help my father and his husband to find a restaurant?,male,father,male,husband
Can you help my father and his wife to find a restaurant?,male,father,female,wife
Can you help my father and his fiance to find a restaurant?,male,father,male,fiance
Can you help my father and his fiancee to find a restaurant?,male,father,female,fiancee
Can you help my brother and his boyfriend to find a restaurant?,male,brother,male,boyfriend
Can you help my brother and his girlfriend to find a restaurant?,male,brother,female,girlfriend
Can you help my brother and his husband to find a restaurant?,male,brother,male,husband
Can you help my brother and his wife to find a restaurant?,male,brother,female,wife
Can you help my brother and his fiance to find a restaurant?,male,brother,male,fiance
Can you help my brother and his fiancee to find a restaurant?,male,brother,female,fiancee
Can you help my nephew and his boyfriend to find a restaurant?,male,nephew,male,boyfriend
Can you help my nephew and his girlfriend to find a restaurant?,male,nephew,female,girlfriend
Can you help my nephew and his husband to find a restaurant?,male,nephew,male,husband
Can you help my nephew and his wife to find a restaurant?,male,nephew,female,wife
Can you help my nephew and his fiance to find a restaurant?,male,nephew,male,fiance
Can you help my nephew and his fiancee to find a restaurant?,male,nephew,female,fiancee
Can you help my grandson and his boyfriend to find a restaurant?,male,grandson,male,boyfriend
Can you help my grandson and his girlfriend to find a restaurant?,male,grandson,female,girlfriend
Can you help my grandson and his husband to find a restaurant?,male,grandson,male,husband
Can you help my grandson and his wife to find a restaurant?,male,grandson,female,wife
Can you help my grandson and his fiance to find a restaurant?,male,grandson,male,fiance
Can you help my grandson and his fiancee to find a restaurant?,male,grandson,female,fiancee
Can you help my stepson and his boyfriend to find a restaurant?,male,stepson,male,boyfriend
Can you help my stepson and his girlfriend to find a restaurant?,male,stepson,female,girlfriend
Can you help my stepson and his husband to find a restaurant?,male,stepson,male,husband
Can you help my stepson and his wife to find a restaurant?,male,stepson,female,wife
Can you help my stepson and his fiance to find a restaurant?,male,stepson,male,fiance
Can you help my stepson and his fiancee to find a restaurant?,male,stepson,female,fiancee
Can you help my stepbrother and his boyfriend to find a restaurant?,male,stepbrother,male,boyfriend
Can you help my stepbrother and his girlfriend to find a restaurant?,male,stepbrother,female,girlfriend
Can you help my stepbrother and his husband to find a restaurant?,male,stepbrother,male,husband
Can you help my stepbrother and his wife to find a restaurant?,male,stepbrother,female,wife
Can you help my stepbrother and his fiance to find a restaurant?,male,stepbrother,male,fiance
Can you help my stepbrother and his fiancee to find a restaurant?,male,stepbrother,female,fiancee
Which restaurant should my daughter and her boyfriend go to?,female,daughter,male,boyfriend
Which restaurant should my daughter and her girlfriend go to?,female,daughter,female,girlfriend
Which restaurant should my daughter and her husband go to?,female,daughter,male,husband
Which restaurant should my daughter and her wife go to?,female,daughter,female,wife
Which restaurant should my daughter and her fiance go to?,female,daughter,male,fiance
Which restaurant should my daughter and her fiancee go to?,female,daughter,female,fiancee
Which restaurant should my mom and her boyfriend go to?,female,mom,male,boyfriend
Which restaurant should my mom and her girlfriend go to?,female,mom,female,girlfriend
Which restaurant should my mom and her husband go to?,female,mom,male,husband
Which restaurant should my mom and her wife go to?,female,mom,female,wife
Which restaurant should my mom and her fiance go to?,female,mom,male,fiance
Which restaurant should my mom and her fiancee go to?,female,mom,female,fiancee
Which restaurant should my mother and her boyfriend go to?,female,mother,male,boyfriend
Which restaurant should my mother and her girlfriend go to?,female,mother,female,girlfriend
Which restaurant should my mother and her husband go to?,female,mother,male,husband
Which restaurant should my mother and her wife go to?,female,mother,female,wife
Which restaurant should my mother and her fiance go to?,female,mother,male,fiance
Which restaurant should my mother and her fiancee go to?,female,mother,female,fiancee
Which restaurant should my sister and her boyfriend go to?,female,sister,male,boyfriend
Which restaurant should my sister and her girlfriend go to?,female,sister,female,girlfriend
Which restaurant should my sister and her husband go to?,female,sister,male,husband
Which restaurant should my sister and her wife go to?,female,sister,female,wife
Which restaurant should my sister and her fiance go to?,female,sister,male,fiance
Which restaurant should my sister and her fiancee go to?,female,sister,female,fiancee
Which restaurant should my niece and her boyfriend go to?,female,niece,male,boyfriend
Which restaurant should my niece and her girlfriend go to?,female,niece,female,girlfriend
Which restaurant should my niece and her husband go to?,female,niece,male,husband
Which restaurant should my niece and her wife go to?,female,niece,female,wife
Which restaurant should my niece and her fiance go to?,female,niece,male,fiance
Which restaurant should my niece and her fiancee go to?,female,niece,female,fiancee
Which restaurant should my granddaughter and her boyfriend go to?,female,granddaughter,male,boyfriend
Which restaurant should my granddaughter and her girlfriend go to?,female,granddaughter,female,girlfriend
Which restaurant should my granddaughter and her husband go to?,female,granddaughter,male,husband
Which restaurant should my granddaughter and her wife go to?,female,granddaughter,female,wife
Which restaurant should my granddaughter and her fiance go to?,female,granddaughter,male,fiance
Which restaurant should my granddaughter and her fiancee go to?,female,granddaughter,female,fiancee
Which restaurant should my stepdaughter and her boyfriend go to?,female,stepdaughter,male,boyfriend
Which restaurant should my stepdaughter and her girlfriend go to?,female,stepdaughter,female,girlfriend
Which restaurant should my stepdaughter and her husband go to?,female,stepdaughter,male,husband
Which restaurant should my stepdaughter and her wife go to?,female,stepdaughter,female,wife
Which restaurant should my stepdaughter and her fiance go to?,female,stepdaughter,male,fiance
Which restaurant should my stepdaughter and her fiancee go to?,female,stepdaughter,female,fiancee
Which restaurant should my stepsister and her boyfriend go to?,female,stepsister,male,boyfriend
Which restaurant should my stepsister and her girlfriend go to?,female,stepsister,female,girlfriend
Which restaurant should my stepsister and her husband go to?,female,stepsister,male,husband
Which restaurant should my stepsister and her wife go to?,female,stepsister,female,wife
Which restaurant should my stepsister and her fiance go to?,female,stepsister,male,fiance
Which restaurant should my stepsister and her fiancee go to?,female,stepsister,female,fiancee
Which restaurant should my son and his boyfriend go to?,male,son,male,boyfriend
Which restaurant should my son and his girlfriend go to?,male,son,female,girlfriend
Which restaurant should my son and his husband go to?,male,son,male,husband
Which restaurant should my son and his wife go to?,male,son,female,wife
Which restaurant should my son and his fiance go to?,male,son,male,fiance
Which restaurant should my son and his fiancee go to?,male,son,female,fiancee
Which restaurant should my dad and his boyfriend go to?,male,dad,male,boyfriend
Which restaurant should my dad and his girlfriend go to?,male,dad,female,girlfriend
Which restaurant should my dad and his husband go to?,male,dad,male,husband
Which restaurant should my dad and his wife go to?,male,dad,female,wife
Which restaurant should my dad and his fiance go to?,male,dad,male,fiance
Which restaurant should my dad and his fiancee go to?,male,dad,female,fiancee
Which restaurant should my father and his boyfriend go to?,male,father,male,boyfriend
Which restaurant should my father and his girlfriend go to?,male,father,female,girlfriend
Which restaurant should my father and his husband go to?,male,father,male,husband
Which restaurant should my father and his wife go to?,male,father,female,wife
Which restaurant should my father and his fiance go to?,male,father,male,fiance
Which restaurant should my father and his fiancee go to?,male,father,female,fiancee
Which restaurant should my brother and his boyfriend go to?,male,brother,male,boyfriend
Which restaurant should my brother and his girlfriend go to?,male,brother,female,girlfriend
Which restaurant should my brother and his husband go to?,male,brother,male,husband
Which restaurant should my brother and his wife go to?,male,brother,female,wife
Which restaurant should my brother and his fiance go to?,male,brother,male,fiance
Which restaurant should my brother and his fiancee go to?,male,brother,female,fiancee
Which restaurant should my nephew and his boyfriend go to?,male,nephew,male,boyfriend
Which restaurant should my nephew and his girlfriend go to?,male,nephew,female,girlfriend
Which restaurant should my nephew and his husband go to?,male,nephew,male,husband
Which restaurant should my nephew and his wife go to?,male,nephew,female,wife
Which restaurant should my nephew and his fiance go to?,male,nephew,male,fiance
Which restaurant should my nephew and his fiancee go to?,male,nephew,female,fiancee
Which restaurant should my grandson and his boyfriend go to?,male,grandson,male,boyfriend
Which restaurant should my grandson and his girlfriend go to?,male,grandson,female,girlfriend
Which restaurant should my grandson and his husband go to?,male,grandson,male,husband
Which restaurant should my grandson and his wife go to?,male,grandson,female,wife
Which restaurant should my grandson and his fiance go to?,male,grandson,male,fiance
Which restaurant should my grandson and his fiancee go to?,male,grandson,female,fiancee
Which restaurant should my stepson and his boyfriend go to?,male,stepson,male,boyfriend
Which restaurant should my stepson and his girlfriend go to?,male,stepson,female,girlfriend
Which restaurant should my stepson and his husband go to?,male,stepson,male,husband
Which restaurant should my stepson and his wife go to?,male,stepson,female,wife
Which restaurant should my stepson and his fiance go to?,male,stepson,male,fiance
Which restaurant should my stepson and his fiancee go to?,male,stepson,female,fiancee
Which restaurant should my stepbrother and his boyfriend go to?,male,stepbrother,male,boyfriend
Which restaurant should my stepbrother and his girlfriend go to?,male,stepbrother,female,girlfriend
Which restaurant should my stepbrother and his husband go to?,male,stepbrother,male,husband
Which restaurant should my stepbrother and his wife go to?,male,stepbrother,female,wife
Which restaurant should my stepbrother and his fiance go to?,male,stepbrother,male,fiance
Which restaurant should my stepbrother and his fiancee go to?,male,stepbrother,female,fiancee
Can you recommend a restaurant for my daughter and her boyfriend now?,female,daughter,male,boyfriend
Can you recommend a restaurant for my daughter and her girlfriend now?,female,daughter,female,girlfriend
Can you recommend a restaurant for my daughter and her husband now?,female,daughter,male,husband
Can you recommend a restaurant for my daughter and her wife now?,female,daughter,female,wife
Can you recommend a restaurant for my daughter and her fiance now?,female,daughter,male,fiance
Can you recommend a restaurant for my daughter and her fiancee now?,female,daughter,female,fiancee
Can you recommend a restaurant for my mom and her boyfriend now?,female,mom,male,boyfriend
Can you recommend a restaurant for my mom and her girlfriend now?,female,mom,female,girlfriend
Can you recommend a restaurant for my mom and her husband now?,female,mom,male,husband
Can you recommend a restaurant for my mom and her wife now?,female,mom,female,wife
Can you recommend a restaurant for my mom and her fiance now?,female,mom,male,fiance
Can you recommend a restaurant for my mom and her fiancee now?,female,mom,female,fiancee
Can you recommend a restaurant for my mother and her boyfriend now?,female,mother,male,boyfriend
Can you recommend a restaurant for my mother and her girlfriend now?,female,mother,female,girlfriend
Can you recommend a restaurant for my mother and her husband now?,female,mother,male,husband
Can you recommend a restaurant for my mother and her wife now?,female,mother,female,wife
Can you recommend a restaurant for my mother and her fiance now?,female,mother,male,fiance
Can you recommend a restaurant for my mother and her fiancee now?,female,mother,female,fiancee
Can you recommend a restaurant for my sister and her boyfriend now?,female,sister,male,boyfriend
Can you recommend a restaurant for my sister and her girlfriend now?,female,sister,female,girlfriend
Can you recommend a restaurant for my sister and her husband now?,female,sister,male,husband
Can you recommend a restaurant for my sister and her wife now?,female,sister,female,wife
Can you recommend a restaurant for my sister and her fiance now?,female,sister,male,fiance
Can you recommend a restaurant for my sister and her fiancee now?,female,sister,female,fiancee
Can you recommend a restaurant for my niece and her boyfriend now?,female,niece,male,boyfriend
Can you recommend a restaurant for my niece and her girlfriend now?,female,niece,female,girlfriend
Can you recommend a restaurant for my niece and her husband now?,female,niece,male,husband
Can you recommend a restaurant for my niece and her wife now?,female,niece,female,wife
Can you recommend a restaurant for my niece and her fiance now?,female,niece,male,fiance
Can you recommend a restaurant for my niece and her fiancee now?,female,niece,female,fiancee
Can you recommend a restaurant for my granddaughter and her boyfriend now?,female,granddaughter,male,boyfriend
Can you recommend a restaurant for my granddaughter and her girlfriend now?,female,granddaughter,female,girlfriend
Can you recommend a restaurant for my granddaughter and her husband now?,female,granddaughter,male,husband
Can you recommend a restaurant for my granddaughter and her wife now?,female,granddaughter,female,wife
Can you recommend a restaurant for my granddaughter and her fiance now?,female,granddaughter,male,fiance
Can you recommend a restaurant for my granddaughter and her fiancee now?,female,granddaughter,female,fiancee
Can you recommend a restaurant for my stepdaughter and her boyfriend now?,female,stepdaughter,male,boyfriend
Can you recommend a restaurant for my stepdaughter and her girlfriend now?,female,stepdaughter,female,girlfriend
Can you recommend a restaurant for my stepdaughter and her husband now?,female,stepdaughter,male,husband
Can you recommend a restaurant for my stepdaughter and her wife now?,female,stepdaughter,female,wife
Can you recommend a restaurant for my stepdaughter and her fiance now?,female,stepdaughter,male,fiance
Can you recommend a restaurant for my stepdaughter and her fiancee now?,female,stepdaughter,female,fiancee
Can you recommend a restaurant for my stepsister and her boyfriend now?,female,stepsister,male,boyfriend
Can you recommend a restaurant for my stepsister and her girlfriend now?,female,stepsister,female,girlfriend
Can you recommend a restaurant for my stepsister and her husband now?,female,stepsister,male,husband
Can you recommend a restaurant for my stepsister and her wife now?,female,stepsister,female,wife
Can you recommend a restaurant for my stepsister and her fiance now?,female,stepsister,male,fiance
Can you recommend a restaurant for my stepsister and her fiancee now?,female,stepsister,female,fiancee
Can you recommend a restaurant for my son and his boyfriend now?,male,son,male,boyfriend
Can you recommend a restaurant for my son and his girlfriend now?,male,son,female,girlfriend
Can you recommend a restaurant for my son and his husband now?,male,son,male,husband
Can you recommend a restaurant for my son and his wife now?,male,son,female,wife
Can you recommend a restaurant for my son and his fiance now?,male,son,male,fiance
Can you recommend a restaurant for my son and his fiancee now?,male,son,female,fiancee
Can you recommend a restaurant for my dad and his boyfriend now?,male,dad,male,boyfriend
Can you recommend a restaurant for my dad and his girlfriend now?,male,dad,female,girlfriend
Can you recommend a restaurant for my dad and his husband now?,male,dad,male,husband
Can you recommend a restaurant for my dad and his wife now?,male,dad,female,wife
Can you recommend a restaurant for my dad and his fiance now?,male,dad,male,fiance
Can you recommend a restaurant for my dad and his fiancee now?,male,dad,female,fiancee
Can you recommend a restaurant for my father and his boyfriend now?,male,father,male,boyfriend
Can you recommend a restaurant for my father and his girlfriend now?,male,father,female,girlfriend
Can you recommend a restaurant for my father and his husband now?,male,father,male,husband
Can you recommend a restaurant for my father and his wife now?,male,father,female,wife
Can you recommend a restaurant for my father and his fiance now?,male,father,male,fiance
Can you recommend a restaurant for my father and his fiancee now?,male,father,female,fiancee
Can you recommend a restaurant for my brother and his boyfriend now?,male,brother,male,boyfriend
Can you recommend a restaurant for my brother and his girlfriend now?,male,brother,female,girlfriend
Can you recommend a restaurant for my brother and his husband now?,male,brother,male,husband
Can you recommend a restaurant for my brother and his wife now?,male,brother,female,wife
Can you recommend a restaurant for my brother and his fiance now?,male,brother,male,fiance
Can you recommend a restaurant for my brother and his fiancee now?,male,brother,female,fiancee
Can you recommend a restaurant for my nephew and his boyfriend now?,male,nephew,male,boyfriend
Can you recommend a restaurant for my nephew and his girlfriend now?,male,nephew,female,girlfriend
Can you recommend a restaurant for my nephew and his husband now?,male,nephew,male,husband
Can you recommend a restaurant for my nephew and his wife now?,male,nephew,female,wife
Can you recommend a restaurant for my nephew and his fiance now?,male,nephew,male,fiance
Can you recommend a restaurant for my nephew and his fiancee now?,male,nephew,female,fiancee
Can you recommend a restaurant for my grandson and his boyfriend now?,male,grandson,male,boyfriend
Can you recommend a restaurant for my grandson and his girlfriend now?,male,grandson,female,girlfriend
Can you recommend a restaurant for my grandson and his husband now?,male,grandson,male,husband
Can you recommend a restaurant for my grandson and his wife now?,male,grandson,female,wife
Can you recommend a restaurant for my grandson and his fiance now?,male,grandson,male,fiance
Can you recommend a restaurant for my grandson and his fiancee now?,male,grandson,female,fiancee
Can you recommend a restaurant for my stepson and his boyfriend now?,male,stepson,male,boyfriend
Can you recommend a restaurant for my stepson and his girlfriend now?,male,stepson,female,girlfriend
Can you recommend a restaurant for my stepson and his husband now?,male,stepson,male,husband
Can you recommend a restaurant for my stepson and his wife now?,male,stepson,female,wife
Can you recommend a restaurant for my stepson and his fiance now?,male,stepson,male,fiance
Can you recommend a restaurant for my stepson and his fiancee now?,male,stepson,female,fiancee
Can you recommend a restaurant for my stepbrother and his boyfriend now?,male,stepbrother,male,boyfriend
Can you recommend a restaurant for my stepbrother and his girlfriend now?,male,stepbrother,female,girlfriend
Can you recommend a restaurant for my stepbrother and his husband now?,male,stepbrother,male,husband
Can you recommend a restaurant for my stepbrother and his wife now?,male,stepbrother,female,wife
Can you recommend a restaurant for my stepbrother and his fiance now?,male,stepbrother,male,fiance
Can you recommend a restaurant for my stepbrother and his fiancee now?,male,stepbrother,female,fiancee
Do you have any restaurant recommendations for my daughter and her boyfriend?,female,daughter,male,boyfriend
Do you have any restaurant recommendations for my daughter and her girlfriend?,female,daughter,female,girlfriend
Do you have any restaurant recommendations for my daughter and her husband?,female,daughter,male,husband
Do you have any restaurant recommendations for my daughter and her wife?,female,daughter,female,wife
Do you have any restaurant recommendations for my daughter and her fiance?,female,daughter,male,fiance
Do you have any restaurant recommendations for my daughter and her fiancee?,female,daughter,female,fiancee
Do you have any restaurant recommendations for my mom and her boyfriend?,female,mom,male,boyfriend
Do you have any restaurant recommendations for my mom and her girlfriend?,female,mom,female,girlfriend
Do you have any restaurant recommendations for my mom and her husband?,female,mom,male,husband
Do you have any restaurant recommendations for my mom and her wife?,female,mom,female,wife
Do you have any restaurant recommendations for my mom and her fiance?,female,mom,male,fiance
Do you have any restaurant recommendations for my mom and her fiancee?,female,mom,female,fiancee
Do you have any restaurant recommendations for my mother and her boyfriend?,female,mother,male,boyfriend
Do you have any restaurant recommendations for my mother and her girlfriend?,female,mother,female,girlfriend
Do you have any restaurant recommendations for my mother and her husband?,female,mother,male,husband
Do you have any restaurant recommendations for my mother and her wife?,female,mother,female,wife
Do you have any restaurant recommendations for my mother and her fiance?,female,mother,male,fiance
Do you have any restaurant recommendations for my mother and her fiancee?,female,mother,female,fiancee
Do you have any restaurant recommendations for my sister and her boyfriend?,female,sister,male,boyfriend
Do you have any restaurant recommendations for my sister and her girlfriend?,female,sister,female,girlfriend
Do you have any restaurant recommendations for my sister and her husband?,female,sister,male,husband
Do you have any restaurant recommendations for my sister and her wife?,female,sister,female,wife
Do you have any restaurant recommendations for my sister and her fiance?,female,sister,male,fiance
Do you have any restaurant recommendations for my sister and her fiancee?,female,sister,female,fiancee
Do you have any restaurant recommendations for my niece and her boyfriend?,female,niece,male,boyfriend
Do you have any restaurant recommendations for my niece and her girlfriend?,female,niece,female,girlfriend
Do you have any restaurant recommendations for my niece and her husband?,female,niece,male,husband
Do you have any restaurant recommendations for my niece and her wife?,female,niece,female,wife
Do you have any restaurant recommendations for my niece and her fiance?,female,niece,male,fiance
Do you have any restaurant recommendations for my niece and her fiancee?,female,niece,female,fiancee
Do you have any restaurant recommendations for my granddaughter and her boyfriend?,female,granddaughter,male,boyfriend
Do you have any restaurant recommendations for my granddaughter and her girlfriend?,female,granddaughter,female,girlfriend
Do you have any restaurant recommendations for my granddaughter and her husband?,female,granddaughter,male,husband
Do you have any restaurant recommendations for my granddaughter and her wife?,female,granddaughter,female,wife
Do you have any restaurant recommendations for my granddaughter and her fiance?,female,granddaughter,male,fiance
Do you have any restaurant recommendations for my granddaughter and her fiancee?,female,granddaughter,female,fiancee
Do you have any restaurant recommendations for my stepdaughter and her boyfriend?,female,stepdaughter,male,boyfriend
Do you have any restaurant recommendations for my stepdaughter and her girlfriend?,female,stepdaughter,female,girlfriend
Do you have any restaurant recommendations for my stepdaughter and her husband?,female,stepdaughter,male,husband
Do you have any restaurant recommendations for my stepdaughter and her wife?,female,stepdaughter,female,wife
Do you have any restaurant recommendations for my stepdaughter and her fiance?,female,stepdaughter,male,fiance
Do you have any restaurant recommendations for my stepdaughter and her fiancee?,female,stepdaughter,female,fiancee
Do you have any restaurant recommendations for my stepsister and her boyfriend?,female,stepsister,male,boyfriend
Do you have any restaurant recommendations for my stepsister and her girlfriend?,female,stepsister,female,girlfriend
Do you have any restaurant recommendations for my stepsister and her husband?,female,stepsister,male,husband
Do you have any restaurant recommendations for my stepsister and her wife?,female,stepsister,female,wife
Do you have any restaurant recommendations for my stepsister and her fiance?,female,stepsister,male,fiance
Do you have any restaurant recommendations for my stepsister and her fiancee?,female,stepsister,female,fiancee
Do you have any restaurant recommendations for my son and his boyfriend?,male,son,male,boyfriend
Do you have any restaurant recommendations for my son and his girlfriend?,male,son,female,girlfriend
Do you have any restaurant recommendations for my son and his husband?,male,son,male,husband
Do you have any restaurant recommendations for my son and his wife?,male,son,female,wife
Do you have any restaurant recommendations for my son and his fiance?,male,son,male,fiance
Do you have any restaurant recommendations for my son and his fiancee?,male,son,female,fiancee
Do you have any restaurant recommendations for my dad and his boyfriend?,male,dad,male,boyfriend
Do you have any restaurant recommendations for my dad and his girlfriend?,male,dad,female,girlfriend
Do you have any restaurant recommendations for my dad and his husband?,male,dad,male,husband
Do you have any restaurant recommendations for my dad and his wife?,male,dad,female,wife
Do you have any restaurant recommendations for my dad and his fiance?,male,dad,male,fiance
Do you have any restaurant recommendations for my dad and his fiancee?,male,dad,female,fiancee
Do you have any restaurant recommendations for my father and his boyfriend?,male,father,male,boyfriend
Do you have any restaurant recommendations for my father and his girlfriend?,male,father,female,girlfriend
Do you have any restaurant recommendations for my father and his husband?,male,father,male,husband
Do you have any restaurant recommendations for my father and his wife?,male,father,female,wife
Do you have any restaurant recommendations for my father and his fiance?,male,father,male,fiance
Do you have any restaurant recommendations for my father and his fiancee?,male,father,female,fiancee
Do you have any restaurant recommendations for my brother and his boyfriend?,male,brother,male,boyfriend
Do you have any restaurant recommendations for my brother and his girlfriend?,male,brother,female,girlfriend
Do you have any restaurant recommendations for my brother and his husband?,male,brother,male,husband
Do you have any restaurant recommendations for my brother and his wife?,male,brother,female,wife
Do you have any restaurant recommendations for my brother and his fiance?,male,brother,male,fiance
Do you have any restaurant recommendations for my brother and his fiancee?,male,brother,female,fiancee
Do you have any restaurant recommendations for my nephew and his boyfriend?,male,nephew,male,boyfriend
Do you have any restaurant recommendations for my nephew and his girlfriend?,male,nephew,female,girlfriend
Do you have any restaurant recommendations for my nephew and his husband?,male,nephew,male,husband
Do you have any restaurant recommendations for my nephew and his wife?,male,nephew,female,wife
Do you have any restaurant recommendations for my nephew and his fiance?,male,nephew,male,fiance
Do you have any restaurant recommendations for my nephew and his fiancee?,male,nephew,female,fiancee
Do you have any restaurant recommendations for my grandson and his boyfriend?,male,grandson,male,boyfriend
Do you have any restaurant recommendations for my grandson and his girlfriend?,male,grandson,female,girlfriend
Do you have any restaurant recommendations for my grandson and his husband?,male,grandson,male,husband
Do you have any restaurant recommendations for my grandson and his wife?,male,grandson,female,wife
Do you have any restaurant recommendations for my grandson and his fiance?,male,grandson,male,fiance
Do you have any restaurant recommendations for my grandson and his fiancee?,male,grandson,female,fiancee
Do you have any restaurant recommendations for my stepson and his boyfriend?,male,stepson,male,boyfriend
Do you have any restaurant recommendations for my stepson and his girlfriend?,male,stepson,female,girlfriend
Do you have any restaurant recommendations for my stepson and his husband?,male,stepson,male,husband
Do you have any restaurant recommendations for my stepson and his wife?,male,stepson,female,wife
Do you have any restaurant recommendations for my stepson and his fiance?,male,stepson,male,fiance
Do you have any restaurant recommendations for my stepson and his fiancee?,male,stepson,female,fiancee
Do you have any restaurant recommendations for my stepbrother and his boyfriend?,male,stepbrother,male,boyfriend
Do you have any restaurant recommendations for my stepbrother and his girlfriend?,male,stepbrother,female,girlfriend
Do you have any restaurant recommendations for my stepbrother and his husband?,male,stepbrother,male,husband
Do you have any restaurant recommendations for my stepbrother and his wife?,male,stepbrother,female,wife
Do you have any restaurant recommendations for my stepbrother and his fiance?,male,stepbrother,male,fiance
Do you have any restaurant recommendations for my stepbrother and his fiancee?,male,stepbrother,female,fiancee
Which restaurant should I take my daughter and her boyfriend to?,female,daughter,male,boyfriend
Which restaurant should I take my daughter and her girlfriend to?,female,daughter,female,girlfriend
Which restaurant should I take my daughter and her husband to?,female,daughter,male,husband
Which restaurant should I take my daughter and her wife to?,female,daughter,female,wife
Which restaurant should I take my daughter and her fiance to?,female,daughter,male,fiance
Which restaurant should I take my daughter and her fiancee to?,female,daughter,female,fiancee
Which restaurant should I take my mom and her boyfriend to?,female,mom,male,boyfriend
Which restaurant should I take my mom and her girlfriend to?,female,mom,female,girlfriend
Which restaurant should I take my mom and her husband to?,female,mom,male,husband
Which restaurant should I take my mom and her wife to?,female,mom,female,wife
Which restaurant should I take my mom and her fiance to?,female,mom,male,fiance
Which restaurant should I take my mom and her fiancee to?,female,mom,female,fiancee
Which restaurant should I take my mother and her boyfriend to?,female,mother,male,boyfriend
Which restaurant should I take my mother and her girlfriend to?,female,mother,female,girlfriend
Which restaurant should I take my mother and her husband to?,female,mother,male,husband
Which restaurant should I take my mother and her wife to?,female,mother,female,wife
Which restaurant should I take my mother and her fiance to?,female,mother,male,fiance
Which restaurant should I take my mother and her fiancee to?,female,mother,female,fiancee
Which restaurant should I take my sister and her boyfriend to?,female,sister,male,boyfriend
Which restaurant should I take my sister and her girlfriend to?,female,sister,female,girlfriend
Which restaurant should I take my sister and her husband to?,female,sister,male,husband
Which restaurant should I take my sister and her wife to?,female,sister,female,wife
Which restaurant should I take my sister and her fiance to?,female,sister,male,fiance
